Cuarto,Mueble,Nivel,Posición,Título,Autor
D,H-Derecho,1,10,Revista Diners. Abril 2017,
D,H-Derecho,1,11,Revista Diners. Noviembre 2016,
D,H-Derecho,1,12,Revista Diners. Octubre 2016,
D,H-Derecho,1,13,Revista Diners. Diciembre 2016,
D,H-Derecho,1,14,"Revista Gestión, noviembre/diciembre 2016",
D,H-Derecho,1,17,"Revista Soho, diciembre 2016/enero 2017",
D,H-Derecho,1,1,Cosas de mi tierra,José Antonio Campos
D,H-Derecho,1,20,Le pendiente imposible,Marialuz Albuja
D,H-Derecho,1,21,Los lobos desarmados ,Margarita Laso
D,H-Derecho,1,22,El poeta de la montaña,Pedro Plorentino Valdéz
D,H-Derecho,1,23,El alcalde de Zalamea,Pedro Calderón de la Barca
D,H-Derecho,1,24,Cabeza de gallo,César Dávila Andrade
D,H-Derecho,1,25,Alejandra entre los huertos,Hernán Flores
D,H-Derecho,1,26,Historia del Ecuador,Mario Navas Jimenez
D,H-Derecho,1,27,"Verde, verde",Julio César Vizuete Larrea
D,H-Derecho,1,28,Psicopatologia y psicopedagogia del cuento infantil,Dario Guevara
D,H-Derecho,1,29,Historias de aerosol,Alez Ron
D,H-Derecho,1,2,Tesoro del confesor,José Busquet y Jesús García-Bayon
D,H-Derecho,1,30,Pachamamismo vs. Extractivismo,Atilio Borón
D,H-Derecho,1,31,La mujer de mi hermano,Jaime Bayly
D,H-Derecho,1,32,El pasillo: identidad sonora,
D,H-Derecho,1,33,El teatro de los monstruos,Viviana Cordero
D,H-Derecho,1,34,Cosmología de la carne,Juan Carlos Miranda
D,H-Derecho,1,35,Negro,José Ignacio Ayala Salazar
D,H-Derecho,1,36,Girasoles muriendo en música,Holger Córdova
D,H-Derecho,1,37,Y el sépimo descansó,Jorge Muñoz Ogáyar
D,H-Derecho,1,38,Yaugurú. Santa poesía,Rafael Courtoisie
D,H-Derecho,1,39,El hermano menor de Marlon Brando,Pablo Cuvi
D,H-Derecho,1,3,Y la madrigada los sorprendió en el poder,Javier Ponce
D,H-Derecho,1,40,Un hombre y un río,Horacio Hidrovo Velasquez
D,H-Derecho,1,41,Conversaciones conmigo mismo,Eduardo Carrasco
D,H-Derecho,1,42,Ecce Homo Il,Cristian Avecillas
D,H-Derecho,1,43,Del otro lado de la ventana,Augusto Rodriguez
D,H-Derecho,1,44,El héroe del brazo inerte,Eliercer Cárdenas
D,H-Derecho,1,45,Leyendas del Ecuador,Edgar Allan García
D,H-Derecho,1,46,Antología del teatro ecuatoriano de fin de siglo,Lola Proaño Gómez
D,H-Derecho,1,47,El cojo Navarrete,
D,H-Derecho,1,48,Caneza Deorada,Antonio Correa Losada
D,H-Derecho,1,49,"General Julio Andrade: paz, consulo, victoria",Cecilia Falconí Pérez
D,H-Derecho,1,4,El cuarto mundo,Diamela Eltit
D,H-Derecho,1,5,17h Ulan Bator,Enrique Saulle
D,H-Derecho,1,6,Poesía para el siglo XXI,Pedro Isaac Barreiro
D,H-Derecho,1,7,Premio Nacional Eugenio Espejo 2012,
D,H-Derecho,1,8,Cronología del siglo XX,Jorge Enríque Adoum
D,H-Derecho,1,9,Revista Diners. Agosto 2017,
D,H-Derecho,2,100,La vida secreta,Jorge Dávila Vásquez
D,H-Derecho,2,101,Tinta sangre,Solange Rodríguez Pappe
D,H-Derecho,2,102,La diosa en el espejo,Jenni Carrasco Molina
D,H-Derecho,2,103,Los Goznes y otros poemas,Franco Jaramillo Castillo
D,H-Derecho,2,104,Un hombre muerto a puntapies y otros relatos,Pablo Palacio
D,H-Derecho,2,105,Bajo el mismo extraño cielo,Abdón Ubidia
D,H-Derecho,2,106,Benjamín Carrión y su concepto de la identidad nacional ecuatoriana,Michael H. Handelsman
D,H-Derecho,2,107,El libro de los elogios,Leonardo Burneo Valdivieso
D,H-Derecho,2,108,Entrañables,Jorge Dávila Vásquez
D,H-Derecho,2,109,Flaquita My Love,Carlos Aulestia
D,H-Derecho,2,10,Poesía y cuentos ecuatorianos ,Sara Venegas Coveña
D,H-Derecho,2,110,Llegada de todos los trenes del mundo,Alfonso Cuesta y Cuesta
D,H-Derecho,2,111,Canto nocturno,Aníbal Fernandez Bonilla
D,H-Derecho,2,112,Tratados de ociología,Javier Lara Santos
D,H-Derecho,2,113,Estancia vital de la penumbra. El santuario de la sotas azules,Francisco Costales Flores
D,H-Derecho,2,114,"Yewuá, un cuento místico africano, personajes y presencia",Sonia Noboa Ribadeneira
D,H-Derecho,2,115,Bajo la piel de los tambores,Luz Argentina Chiriboga
D,H-Derecho,2,116,Infernario ,Omar Balladares Rodríguez
D,H-Derecho,2,117,Hola Camarón con cola,Fausto Segovia Baus
D,H-Derecho,2,118,Detrás de si,Carolina Andrade
D,H-Derecho,2,119,Tentaivas de amar a un monstruo,María Luisa Rodriguez
D,H-Derecho,2,11,Los obscuros designios de dios y del imperio ,Jorge Trujillo
D,H-Derecho,2,120,Invitados de honor,Javier Vásconez
D,H-Derecho,2,121,Itinerario de un pueblo,Plutarco Naranjo
D,H-Derecho,2,122,Débora y vida del ahorcado,Pablo Palacio
D,H-Derecho,2,123,Un hombre muerto a puntapiés y Débora,Pablo Palacio
D,H-Derecho,2,124,Débora y vida del ahorcado,Pablo Palacio
D,H-Derecho,2,12,Benjamín Carrión y su cosmovisión de Pablo Palacio,Jiame Rodriguez Palacios
D,H-Derecho,2,13,Libro de posta. Narrativa actual en el Ecuador,Miguel Donoso Pareja (selección e introducción)
D,H-Derecho,2,14,Timoleón Coloma,Carlos Tobar
D,H-Derecho,2,15,La emancipada,Miguel Riofrio
D,H-Derecho,2,16,Historia de un intruso,Marco Antonio Rodriguez
D,H-Derecho,2,17,El destino,Pedro Jorge Vera
D,H-Derecho,2,18,Arcilla Indócil,Arturo Montesinos Malo
D,H-Derecho,2,19,Dos muertes en una vida,Alfonso Barrera Valverde
D,H-Derecho,2,1,La madriguera,Abdón Ubidia
D,H-Derecho,2,20,Nuestro pan,Enrique Gil Gilbert
D,H-Derecho,2,21,El hacha enterrada,Iván Oñate
D,H-Derecho,2,22,Historia de la revolución liberal ecuatoriana,Enrique Ayala Mora
D,H-Derecho,2,23,Mama Pacha,Jorge Icaza
D,H-Derecho,2,24,Un matrimonio inconveniente,Juan León Mera
D,H-Derecho,2,25,En el jardín de Freud,Diego Velasco Andrade
D,H-Derecho,2,26,Eugenio el médico,Ernesti Cisneros Alfaro
D,H-Derecho,2,27,El ensayo en la novela y dentro de la crítica,Galo Vaca Acevedo
D,H-Derecho,2,28,América latina. II la época colonial,Richard KonetZke
D,H-Derecho,2,29,Zoología fantástica,Juan de Velasco
D,H-Derecho,2,2,La escala humana,Abdón Ubidia
D,H-Derecho,2,30,Temas para un cambio de régimen político,Rubén Sader Pérez
D,H-Derecho,2,31,Lo inutil de la felicidad,Ramiro Arias Barriga
D,H-Derecho,2,32,Perros mundos,Varios
D,H-Derecho,2,33,Crític de la razón dialéctica. Libro 1,Jean-Paul Satre
D,H-Derecho,2,34,Justine,Lawrence Durrell
D,H-Derecho,2,35,El séptimo Rafael,"Mónica Almeida, Ana Karina López"
D,H-Derecho,2,36,Era sinverguenza,María Fernada Andrade Beltrán
D,H-Derecho,2,37,El palacio de los espejos ,Abdón Ubidia
D,H-Derecho,2,38,Iris Negro,Fernando Albán
D,H-Derecho,2,39,Un pianista entre la niebla,Raúl Serrano Sánchez
D,H-Derecho,2,3,Sueño de lobos,Abdón Ubidia
D,H-Derecho,2,40,Los logócratas,George Steiner
D,H-Derecho,2,41,El santo temor,Nicolás Jiménez Mendoza
D,H-Derecho,2,42,Revista Babieca. Mayo 2017,
D,H-Derecho,2,43,Una natural tendencia a la desintegración,Andrés Villaba Becdach
D,H-Derecho,2,44,Crow,Luis Alberto Bravo
D,H-Derecho,2,45,La familia del Dr. Lehman ,Sandra Araya
D,H-Derecho,2,46,Lisboa: lo que el turista debe ver,Fernando Pessoa
D,H-Derecho,2,47,Pasos de frontera,Fernando Albán
D,H-Derecho,2,48,"Sputnik, mi amor",Haruki Murakami
D,H-Derecho,2,49,El lobo ,Sandra Araya
D,H-Derecho,2,4,Wolves Dream (traducción de Latin American Literary Review Press),Abdón Ubidia
D,H-Derecho,2,50,Costras extrañas,John Maxwell Coetzee
D,H-Derecho,2,51,La escala Humana,Abdón Ubidia
D,H-Derecho,2,52,Retorno a los omaguas,Ferrán Cabrero Miret
D,H-Derecho,2,53,"Insurgencia, democracia y dictadura",Darío Villamizar
D,H-Derecho,2,54,El Principito,Antoine de Saint-Exupery
D,H-Derecho,2,55,Obra completa,Marcelo Chiriboga
D,H-Derecho,2,56,Callada como la muerte,Abdón Ubidia
D,H-Derecho,2,57,La mantis religiosa,Carlos Carrión
D,H-Derecho,2,58,El naufragio de la humanidad,Kintto Lucas
D,H-Derecho,2,59,El conde y sus dominios,Marcelo Recalde
D,H-Derecho,2,5,Plan Colombia: la paz armada,Kintto Lucas
D,H-Derecho,2,60,"El Capital Tomo I, Vol I",Karl Marx
D,H-Derecho,2,61,El escritor,Pedro Issac Barreiro
D,H-Derecho,2,62,El silencio de la simágenes,Daniela Alcívar 
D,H-Derecho,2,63,El cielo por partes,Sandra Araya
D,H-Derecho,2,64,Animal,María Auxiliadora Balladares
D,H-Derecho,2,65,Recuerdos de un subversivo,Franklin Wilfrido Escobar Paredes
D,H-Derecho,2,66,"Correa, un año….de las promesas a la realidad",Varios
D,H-Derecho,2,67,Genealogía de la moral,F. Nietzche
D,H-Derecho,2,68,Relatos BDSM,Isabel Boguñá
D,H-Derecho,2,69,Juicio a Reagan,Tribunal Antimperialista de Nuestra América. Capitulo del Ecuador
D,H-Derecho,2,6,La aventura amorosa,Abdón Ubidia
D,H-Derecho,2,70,Quehaceres postergados,Yanna Hadatty Mora
D,H-Derecho,2,71,Cuentos taurinos,El Albero. Peña taurina
D,H-Derecho,2,72,Cuentos con fantasmas ,Henry James
